script,text,caught,detected
sinhala,අමතර තොරතුරු අවශ්‍ය නම් අපට සම්බන්ධ වන්න,True,sinhala
sinhala,වරික ඇණවුම් ආදානය අපට අයත්ද කියන්න,True,sinhala
sinhala,මිල ගණන් වෙනස් වූ අවස්ථාවන් කෙසේ කළාද කියන්න,True,sinhala
sinhala,පැමිණිලි ඇති නම් එයට විසඳුමක් ලබා දෙන්න,True,sinhala
sinhala,භාණ්ඩ භාරගැනීමේ ක්‍රියාවලි පැහැදිලි කරන්න,True,sinhala
sinhala,කොළඹ සිට මහනුවරට බෙදාහැරීමේ තොරතුරු දෙන්න,True,sinhala
sinhala,අයදුම්පත සම්පූර්ණ කිරීමේ අයිතිය මට දන්වන්න,True,sinhala
sinhala,ගිණුමේ වැරදි තොරතුරු නම් සකසන්න,True,sinhala
sinhala,අලුත් නිෂ්පාදන පිළිබඳ තොරතුරු මට යවන්න,True,sinhala
sinhala,මිල තහවුරු කිරීම සඳහා නව ලේඛනයක් ලබා දෙන්න,True,sinhala
sinhala,ඇණවුම තහවුරු කිරීමේ තොරතුරු මට කියන්න,True,sinhala
sinhala,ගෙවීම් ක්‍රම සුරක්ෂිත බව සනාථ කරන්න,True,sinhala
sinhala,සේවා ස්ථාන පිළිබඳ විස්තර සැපයුම්,True,sinhala
sinhala,ගිණුම සමඟ අලුත්ම තොරතුරු සකස් කරන්න,True,sinhala
sinhala,නැවත ලබා දීමේ පත්‍රිකාව පිළිබඳ සහය දෙන්න,True,sinhala
sinhala,මාගේ ගිණුම නොක්‍රියාකාරී වූයේ කාටද,True,sinhala
sinhala,අලුත් මාර්ගගත ගෙවීම් සම්බන්ධතාව නැරඹන්න,True,sinhala
sinhala,බෙදාහැරීම් වේගය වැඩි කළ හැකිද කියන්න,True,sinhala
sinhala,මහනුවර දිස්ත්‍රික්කයේ බෙදාහැරීම් තොරතුරු ලබා දෙන්න,True,sinhala
sinhala,කොළඹ සිට මාතරට බෙදාහැරීම් සැලසුමක් බලාගන්න,True,sinhala
sinhala,මිල සහ වට්ටම් පිළිබඳ අලුත් නිවේදනයක් දෙන්න,True,sinhala
sinhala,පාරිභෝගික අවශ්‍යතා සපුරා දීමට අපට හැකියාවක් ඇත්ද,True,sinhala
sinhala,ගිණුමේ තොරතුරු තහවුරු කිරීමට අපට අමතන්න,True,sinhala
sinhala,බිලිගත් භාණ්ඩ සඳහා හුවමාරු ක්‍රියාමාර්ග පැහැදිලි කරන්න,True,sinhala
sinhala,ඔබගේ සේවාව සඳහා තවත් ප්‍රශ්න තිබේද කියන්න,True,sinhala
sinhala,ගිණුම් ප්‍රතිපත්තීන් පිළිබඳ පැහැදිලි කරන්න,True,sinhala
sinhala,ඇණවුම් පූර්ණ කිරීමට පියවර මට කියන්න,True,sinhala
sinhala,ගුණාත්මක භාණ්ඩ පිළිබඳ ප්‍රශ්න ඇත්නම් දන්වන්න,True,sinhala
sinhala,මිල පිළිබඳ ගැටලු ලබාගැනීමට අමතන්න,True,sinhala
sinhala,ගිණුම රෙජිස්ටර් කර ගැනීමේ මාර්ගෝපදේශයක් දෙන්න,True,sinhala
sinhala,ඔබගේ ඇණවුම කොහේද කියා තහවුරු කරන්න,True,sinhala
sinhala,කොළඹ ශාඛාවෙන් ඇණවුම තහවුරු කිරීමට අපි සූදානම්,True,sinhala
sinhala,ගෙවීමේ ක්‍රමය තහවුරු කරන්නේ කෙසේද කියා දන්වන්න,True,sinhala
sinhala,මෙම භාණ්ඩයේ මිල තවත් අඩුද කියා බලමු,True,sinhala
sinhala,ගිණුමේ ශේෂය මහනුවරටත් පෙනේද,True,sinhala
sinhala,බෙදාහැරීම මහනුවරට කවදාද කියා දන්වන්න,True,sinhala
sinhala,නව ඇණවුමක් සකස් කිරීමට මහනුවරට අප සලස්වන්න,True,sinhala
sinhala,වසර පහළ වූ මිල ගණන්වලට වෙනසක් තිබේද කියා බලමු,True,sinhala
sinhala,නුගෙගොඩට බෙදාහැරීම කාලය කෙතරම් වේද,True,sinhala
sinhala,පාරිභෝගික සේවය සඳහා අප මහනුවර සිට සූදානම්,True,sinhala
sinhala,ගෙවීම් ගැටලු සඳහා කෙටි විසදුම් පහසු වේ,True,sinhala
sinhala,ඔබගේ ලිපිනය ස්ථාපනය කරගැනීමට අපට අවශ්‍ය වේ,True,sinhala
sinhala,ඇණවුම් අතුරුදහන් වූ විට තොරතුරු සපයන්න,True,sinhala
sinhala,කොළඹට නුගෙගොඩ වෙත බෙදාහැරීමේ මාර්ගය සකස් කරන්න,True,sinhala
sinhala,මිල මාරුවීම පිළිබඳ ගැටළුවක් මිට වරක් වී තිබේද,True,sinhala
sinhala,වැරදි භාණ්ඩ පැමිණියේ නම් අපට කියන්න,True,sinhala
sinhala,භාණ්ඩයේ ගුණාත්මකභාවය පරීක්ෂා කිරීමට අපට කාලයක් අවශ්‍යයි,True,sinhala
sinhala,ඔබගේ ගිණුමට අදාල නොගැළපෙන තොරතුරක් ඇත,True,sinhala
sinhala,ස්ථානයන්ට අදාළ තොරතුරු කොළඹට යාවත්කාලීන වේ,True,sinhala
sinhala,අපගේ සේවා කොටස් නවීකරණය මහනුවරට ඇතුළත් කළා,True,sinhala
sinhala,වැඩි විස්තරයක් අවශ්‍ය නම් ප්‍රශ්න කරන්න,True,sinhala
sinhala,ඔබගේ ඇණවුම සඳහා වාසි සහතික ලබා ගැනීමට කටයුතු කරනවා,True,sinhala
sinhala,දෙවන අවස්ථාවක් සඳහා කොළඹ පිහිටාම ඇතුළත් කරන්න,True,sinhala
sinhala,අයදුම්පත් සම්පාදනය අවසන් වන්නේ කෙලෙසද කියා දන්වන්න,True,sinhala
sinhala,නාමය සහ අංකය සහතික කිරීමට අප මඟපෙන්වන්න,True,sinhala
sinhala,අවසාන තොරතුරු අපෙන් ලබාගන්න මහනුවරට,True,sinhala
sinhala,දායකතාව පිළිබඳ කරුණු සංග්‍රහයෙන් කියන්න,True,sinhala
sinhala,නිෂ්පාදන ගුණාත්මකභාවය පිළිබඳ ගැටළුවක් තිබේද,True,sinhala
sinhala,නුගෙගොඩට අමතර වැඩ සටහන් ලබාදෙන්න,True,sinhala
sinhala,තෝරාගත් භාණ්ඩය නැතිනම් වෙනත් භාණ්ඩයක් සලස්න්න,True,sinhala
sinhala,අනුමැතියක් නැත්නම් කෙසේ ලබාගන්නේ කියා දන්වන්න,True,sinhala
sinhala,පාරිභෝගික සේවයට විසඳුම් ලබා දීමට අපි කටයුතු කරද්දී,True,sinhala
sinhala,අතුරුදන් වූ ඇණවුමක් පිළිබද දැනුවත් කරන්න,True,sinhala
sinhala,කොළඹ වෙතින් ස්ථානය අදාලය,True,sinhala
sinhala,මහනුවර බෙදාහැරීමේ තහවුරු ලැබෙන කාලය කියා දෙන්න,True,sinhala
sinhala,ගනුදෙනු පසුගිය දිනවලට සමානද කියා සොයන්න,True,sinhala
sinhala,බිල් අයවැය තහවුරු කිරීමට අපට වචනයක් දෙන්න,True,sinhala
sinhala,අදාල ස්ථානයෙන් පැමිණෙන භාණ්ඩයක් පිළිබඳ පැහැදිලි කරන්න,True,sinhala
sinhala,නාමය සහ ලිපිනය සටහන් කිරීම අවශ්‍යවේ,True,sinhala
sinhala,ඔබට අවශ්‍ය විකල්ප සැපයුම මහනුවරට ලබාගන්න,True,sinhala
sinhala,ඔබගේ ඇණවුමට වෙනත් භාණ්ඩ එක් කළ හැකිද,True,sinhala
sinhala,අවසන් දිනයන්ට අමතර කාලය ලබාදෙන්න,True,sinhala
sinhala,ඔබගේ ගිණුමට අයදුම් පත් වෙනස් කිරීම් කරන්න,True,sinhala
sinhala,තාක්ෂණික ගැටළුවක් අනාවරණය වූ විට අප සූදානම්,True,sinhala
sinhala,තාක්ෂණික පද්ධතිය කේන්ද්‍රයේ කොළඹට සලකා බලමු,True,sinhala
sinhala,අනුමත ගනුදෙනු පද්ධතියට සතුටක් හෝ වේදනාක් ඇත්ද,True,sinhala
sinhala,ඔබ අත්‍යවශ්‍ය විස්තර තහවුරු කරන්න,True,sinhala
sinhala,කොළඹ වෙතින් සැපයුම පැමිණෙන්නා වූ කාලය දන්වන්න,True,sinhala
sinhala,නුගෙගොඩට භාණ්ඩය ලැබුනේද කියා පාරිභෝගිකයාට සකසන්න,True,sinhala
sinhala,අපේ සේවා අවසන් වූ විට උදව් කරමු,True,sinhala
sinhala,මගේ ඇණවුම කොහේද කියලා දැනගන්න අවශ්‍ය කොළඹ සිට ගැලපෙන පරිදි පවසන්න,True,sinhala
sinhala,බෙදාහැරීම දිනය කාලය පැහැදිලි කරන්න,True,sinhala
sinhala,ගෙවීමේ තත්වය නිවැරදිද කියලා සොයන්න,True,sinhala
sinhala,මිල ගණන් පැහැදිලිව දන්වන්න,True,sinhala
sinhala,ගිණුම ශේෂය කීයද කියලා දන්වන්න,True,sinhala
sinhala,නව ඇණවුමක් සකස් කිරීමට පියවර පෙන්වන්න,True,sinhala
sinhala,කොළඹ ප්‍රදේශයට බෙදාහැරීම සැලසුම් කරන්න,True,sinhala
sinhala,නුගෙගොඩ ශාඛාවට ඇණවුම යැවීමට අවශ්‍ය තොරතුරු දෙන්න,True,sinhala
sinhala,මහනුවර සිට බෙදාහැරීමේ විස්තර එක් කරන්න,True,sinhala
sinhala,පසුගිය ගෙවීමේ ගැටලුවක් තිබේද කියලා සොයා බලන්න,True,sinhala
sinhala,ගිණුමට ලියාපදිංචි ලිපිනය තහවුරු කරන්න,True,sinhala
sinhala,අනුබද්ධ ඇණවුම් සංඛ්‍යාව පරීක්ෂා කරන්න,True,sinhala
sinhala,පැමිණිල්ලක් ලැබුවා නම් සුදුසු විසඳුමක් සපයන්න,True,sinhala
sinhala,මිල ප්‍රමාණයන්ට වෙනසක් ඇත්ද කියලා පැහැදිලි කරන්න,True,sinhala
sinhala,අපගේ සේවාව පිළිබඳ අදහස් ලබා ගන්න,True,sinhala
sinhala,කොළඹ මහනුවර නුගෙගොඩ ප්‍රදේශ සම්බන්ධ තොරතුරු සටහන් කරන්න,True,sinhala
sinhala,ඇණවුම ස්ථාපනය සඳහා අවශ්‍ය ලිපිනය සඳහන් කරන්න,True,sinhala
sinhala,ගබඩාවේ තොග තත්වය සොයා බලන්න,True,sinhala
sinhala,බෙදාහැරීමේ දෝෂයක් ඇතිවා නම් සොايا සකසන්න,True,sinhala
sinhala,ඔබේ ගිණුමේ වත්මන් අවසන් ශේෂය කියන්න,True,sinhala
sinhala,ගෙවීමේ ක්‍රම සකස් කිරීම සඳහා උපදෙස් දෙන්න,True,sinhala
sinhala,ගිණුමට අදාළ ණය තොරතුරු සටහන් කරන්න,True,sinhala
sinhala,පැමිණිලි තොරතුරු සමාමෙහි සැකසෙන්න,True,sinhala
sinhala,අපගේ සේවාවට අදාල ප්‍රතිචාරයක් ඉක්මනින් සපයන්න,True,sinhala
sinhala,නව ගිණුමක් සෑදීමට අවශ්‍ය ලිපි පෙළ සපයන්න,True,sinhala
sinhala,මිල සහ ණය අදාළ කරුණු පැහැදිලි කරන්න,True,sinhala
sinhala,කරුණාකර ලිපින තහවුරු කිරීමට අවශ්‍ය ලිපිංක කෙටිය sපයන්න,True,sinhala
sinhala,පසුගිය ඇණවුමට අදාළ වාර්තාවක් සකසන්න,True,sinhala
sinhala,නිවසට බෙදාහැරීම සඳහා සුදුසු ලිපින සඳහන් කරන්න,True,sinhala
sinhala,බෙදාහැරීමේ කාලය අතිරේක තොරතුරු සමඟ සඳහන් කරන්න,True,sinhala
sinhala,අදාළ ගනුදෙනු සඳහා අමතර තොරතුරු සපයන්න,True,sinhala
sinhala,මුදල් ආපසු ප්‍රතිපත්තිය පිළිබඳ පැහැදිලි කරන්න,True,sinhala
sinhala,ඔබේ ගිණුමේ අංකය සහ තොරතුරු වර්ක් තහවුරු කරන්න,True,sinhala
sinhala,ගබඩා තොග තත්වය හා නිෂ්පාදන මට්ටම සෙවන්න,True,sinhala
sinhala,අවශ්‍ය අලුත් ගොනු සකස් කිරීමට අවශ්‍ය කටයුතු කරන්න,True,sinhala
sinhala,පාරිභෝගික සේවා ප්‍රතිචාරය අපට සපයන්න,True,sinhala
sinhala,තාක්ෂණික ගැටලු තිබේ නම් කාර්ය මණ්ඩලයට කියන්න,True,sinhala
sinhala,දිනපත්‍ර සහ අත්සන් වාර්තා සකසා සපයන්න,True,sinhala
sinhala,කොළඹ මහනුවර නුගෙගොඩ ප්‍රදේශයන් සම්බන්ධතා සකස් කරන්න,True,sinhala
sinhala,මිල සංශෝධනයක් ඇතැයි නම් විසඳුමක් ලබා දෙන්න,True,sinhala
sinhala,ඇණවුමේ තොරතුරු සම්පූර්ණයෙන් සටහන් කරන්න,True,sinhala
sinhala,බෙදාහැරීමේ තොරතුරු නිවැරදිද බලන්න,True,sinhala
sinhala,ගිණුම සුරක්ෂිතව තබා ගැනීම සඳහා උපදෙස් දෙන්න,True,sinhala
sinhala,පැමිණිලි සලකා බලන්න නම් අපට ලිපිනයක් සපයන්න,True,sinhala
sinhala,සේවාව පිළිබඳ අදහස් ලැබීම අපෙක්ෂා කරනවා,True,sinhala
sinhala,ගෙවීම් සහ ගිණුම අදාළ ලෙස සකස් කරන්න,True,sinhala
sinhala,නව ගිණුමක් සක්‍රීය කිරීමට අවශ්‍ය ක්‍රියාමාර්ග කියන්න,True,sinhala
sinhala,දත්ත ආරක්ෂාව පිළිබන්ත්‍ය උපදෙස් සපයන්න,True,sinhala
sinhala,ඇණවුමට අදාළ ලිපිනය තහවුරු කරන්න,True,sinhala
sinhala,අපගේ සේවාව වඩාත් සාර්ථක වීම සඳහා අදහස් ලබා දෙන්න,True,sinhala
sinhala,ගෙවීම් තහවුරු කිරීම සඳහා කටයුතු කරන්න,True,sinhala
sinhala,අපගේ තොග තොරතුරු සම්පූර්ණයෙන් සුරක්ෂිත කරන්න,True,sinhala
sinhala,බෙදාහැරීම් සඳහා අවශ්‍ය ලිපින සටහන් කරන්න,True,sinhala
sinhala,ගිණුම් සමඟ සම්බන්ධ සේවා දීර්ඝ කරන්න,True,sinhala
sinhala,අපගේ වෙළඳපොළ පිළිබඳ මූලික තොරතුරු ලබා දෙන්න,True,sinhala
sinhala,ඔබෙ අයදුම් සැපයීම ස්ථාපිත කරන්න,True,sinhala
sinhala,ගෙවීම් කටයුතු සඳහා කාලසටහන සකසන්න,True,sinhala
sinhala,නව මිල දර්ශනයන් පිළිබඳ තොරතුරු සපයන්න,True,sinhala
sinhala,අයදුම් පත්‍ර සම්පූර්ණ කිරීමේ කටයුතු කරන්න,True,sinhala
sinhala,පද්ධති ගැටලු පිළිබඳ කළමනාකරණ සහය ලබා දෙන්න,True,sinhala
sinhala,නව ලිපින තනි කිරීම් සඳහා සහය දෙන්න,True,sinhala
sinhala,සඩඅයදුම් සඳහා අනුමත ලිපි බොක් කරනවා,True,sinhala
sinhala,ඩෙලීවරී සඳහා අවශ්‍ය දත්ත ලබා දෙන්න,True,sinhala
sinhala,මගේ ඇණවුම කොහේද,True,sinhala
sinhala,නැවත ඇණවුමක් කිරීමට අවශ්‍ය පියවර කියන්න,True,sinhala
sinhala,කොළඹ ශාඛාවෙන් ඇණවුම ලබාගතහැකිද,True,sinhala
sinhala,බෙදාහැරීමේ දිනය කවදාද,True,sinhala
sinhala,මිල ගණන් පිළිබද තොරොරු දෙන්න,True,sinhala
sinhala,මා ගෙවන්නේ කෙසේ කියන්න,True,sinhala
sinhala,ගිණුම ශේෂය කීයද කියා දන්වන්න,True,sinhala
sinhala,ගිණුමට අලුත් තොරතුරු ඇතුළත් කරන්න,True,sinhala
sinhala,මහනුවරෙන් නුගෙගොඩට බෙදාහැරීම සැලසුම් කරන්න,True,sinhala
sinhala,ඇණවුම සාර්ථකව ගෙන ගොස් තිබේද,True,sinhala
sinhala,මිලට වට්ටම් ලැබෙන්නේද කියන්න,True,sinhala
sinhala,බෙදාහැරීමේ නෑදැන් ගැන තහවුරු කරන්න,True,sinhala
sinhala,පැමිණිල්ලක් තියෙනවා නම් කෙසේ සම්බන්ධ විය යුතුද,True,sinhala
sinhala,කවර තොරොරුක් අහෝසි කළ යුතුද,True,sinhala
sinhala,ගනුදෙනු ලේඛනය ලබා දී බලන්න,True,sinhala
sinhala,මෙම සේවාවේ ගාස්තුව කීයේද,True,sinhala
sinhala,ගබඩා තොගය අවසන් වූද,True,sinhala
sinhala,බෙදාහැරීම් කාලසටහන සම්පූර්ණ කරන්න,True,sinhala
sinhala,නුගෙගොඩ ලිපිනයට බෙදාහැරීම සිදුද,True,sinhala
sinhala,මිල තහවුරු කිරීම සඳහා සහතික පත්‍රයක් දෙන්න,True,sinhala
sinhala,ගිණුමක් නොතිබේ නම් ලියාපදිංචි වීම අවශ්‍යද,True,sinhala
sinhala,ගිණුමට පිවිසීමේ ගැටළුවක් තිබේ,True,sinhala
sinhala,ලිපිනය සනාථ කිරීම සඳහා ඊමේල් හෝ දුරකථන දත්ත දෙන්න,True,sinhala
sinhala,මිල වෙනස්කම් පිළිබද වාර්තාවක් යවන්න,True,sinhala
sinhala,ඇණවුම් ප්‍රමාණය සහ තොගය සමානයට දන්වන්න,True,sinhala
sinhala,මහනුවර සිට කොළඹ දක්වා බෙදාහැරීම් කාලය සටහන් කරන්න,True,sinhala
sinhala,ඔබගේ ගිණුමේ තොරතුරු සුරක්ෂිතද,True,sinhala
sinhala,වේගවත් සේවාවක් කැමති නම් අපගේ විකල්ප සේවා කියන්න,True,sinhala
sinhala,භාණ්ඩ ආපසු ගැනීමේ නීතිය පැහැදිලි කරන්න,True,sinhala
sinhala,අදාල භාණ්ඩවල මුල් මිල තහවුරු කරන්න,True,sinhala
sinhala,ලිපින සහ සැපයුම් ලිපින වෙනස් කිරීමට ක්‍රමය කියන්න,True,sinhala
sinhala,ඉදිරිපත් කිරීමට අවශ්‍ය සැලසුම දෙන්න,True,sinhala
sinhala,ලැබී තිබූ භාණ්ඩ වල ගුණාත්මකභාවය තහවුරු කරන්න,True,sinhala
sinhala,ඔබට තවත් ප්‍රශ්න තිබේද කියන්න,True,sinhala
sinhala,අපගේ සේවා කාලයන් පිළිබද දැනුවත් කරන්න,True,sinhala
sinhala,අපගේ ප්‍රධාන ලිපින සහ සැපයුම් ලිපින වාර්තාවක් ලබා දෙන්න,True,sinhala
sinhala,මේ වාරයේ මිලන්තර ගැන දැනුවත් කරන්න,True,sinhala
tamil,ஆர்டர் செய்வதற்கான முழு வழிமுறைகளை தருக,True,tamil
tamil,நான் எவ்வாறு இணையத்தில் ஆர்டர் செய்யவேண்டும் என்பதில் உதவி தேவை,True,tamil
tamil,கொழும்பில் அருகிலுள்ள கிளை எங்கே என்பதை தெரியப்படுத்தவும்,True,tamil
tamil,தனக்கு அருகிலுள்ள கிளை தேடி வழிகாட்டுங்கள்,True,tamil
tamil,தேவையான பொருளின் விலையை பார்க்க உதவி செய்யவும்,True,tamil
tamil,விலை குறைக்கப்பட்ட தகவலை உடனடியாக வழங்கவும்,True,tamil
tamil,கடந்த மாத இறுதிக்கால விலை தொடர்பான புகார் தெரிவிக்கிறேன்,True,tamil
tamil,எனக்கு கணக்கில் ஏற்பட்ட இருப்பு மீட்டெடுக்கப்பட வேண்டுமென்று கேட்டுக்கொள்ளுகிறேன்,True,tamil
tamil,கணக்கு குழப்பம் ஏற்பட்டுள்ளது உதவி செய்யுங்கள்,True,tamil
tamil,டெலிவரி தேதி மாற்றம் செய்வதற்கு வழிமுறைகள் கூறுங்கள்,True,tamil
tamil,உயர்ந்த தரமான பொருட்கள் வந்துவிடவில்லை புகார் பதிவு செய்கின்றேன்,True,tamil
tamil,அடுத்தவொரு ஆர்டர் நிலுவையில் உள்ளது என்பதை தெரியப்படுத்தவும்,True,tamil
tamil,சப்ளையரின் நேரம் ஒழுங்குப்படுத்திக்கொள்ளுமாறு கேட்டுக்கொள்கிறேன்,True,tamil
tamil,கொழும்பு நிலுவையில் உள்ள பொருளின் கிடைக்கும் எண்ணிக்கை தெரியுமா,True,tamil
tamil,முன்னாள் ஆர்டரை மாற்ற விரும்புகிறேன் மாற்றம் எவ்வாறு,True,tamil
tamil,சமீபத்திய கட்டணத்தில் பலவழி பிரச்சனைகள் உருவாகின்றன உதவி செய்யுங்கள்,True,tamil
tamil,கணக்கு பதிவுகள் மறைந்துவிட்டன மீட்க உதவி செய்யுங்கள்,True,tamil
tamil,புதிய பயனர் கணக்கை துவக்கும் வழிமுறைகளை விவரிக்கவும்,True,tamil
tamil,அஞ்சல் முகவரி மாற்றம் பற்றிய விபரம் தெளிவாக வழங்கவும்,True,tamil
tamil,குறைந்தது எந்தவொரு கட்டணத்தை நிறுத்தல் முடியும்,True,tamil
tamil,பொருளின் தானாக பரிந்துரை பெறுவது வேண்டும்,True,tamil
tamil,ஆர்டர் மீண்டும் செய்ய வேண்டுமென நினைத்தேன் அதை எவ்வாறு செய்கின்றேன்,True,tamil
tamil,யாழ்ப்பாணம் பகுதியில் உள்ள கிளை பற்றிய தகவலை தருங்கள்,True,tamil
tamil,மட்டக்களப்பில் வழங்கும் பொருட்களின் தகுதிச் சேவையை விளக்கவும்,True,tamil
tamil,அனுராதபுரம் பகுதியில் சேர்க்கப்பட்ட சேவை நிலை என்ன,True,tamil
tamil,கணக்கு தொகைப் பிழைகள் கடைபிடிப்பு குறித்த பதில் அளிக்கவும்,True,tamil
tamil,இந்த மாதம் உங்கள் சமர்ப்பிப்பில் சரியான தொகை காணப்படுகிறதா,True,tamil
tamil,கொழும்பு கிளை பொருட்கள் விலை நிலை பற்றி விளக்கவும்,True,tamil
